ticker symbol	DBMS	db type	runtime in ms	start time	end time	host name	no. cores	operating system
agens	AgensGraph	client	2923	2021-02-27 12:47:36.299608995	2021-02-27 12:47:39.223281832	ubuntu	8	amd64 / Linux / 5.8.0-44-generic
cratedb	CrateDB	client	3655	2021-02-27 12:48:22.063047687	2021-02-27 12:48:25.718250534	ubuntu	8	amd64 / Linux / 5.8.0-44-generic
cubrid	CUBRID	client	5854	2021-02-27 12:48:58.558912687	2021-02-27 12:49:04.412957388	ubuntu	8	amd64 / Linux / 5.8.0-44-generic
derby	Apache Derby	client	4927	2021-02-27 12:49:47.397445013	2021-02-27 12:49:52.324806645	ubuntu	8	amd64 / Linux / 5.8.0-44-generic
derby_emb	Apache Derby	embedded	4899	2021-02-27 12:49:53.982289116	2021-02-27 12:49:58.881406306	ubuntu	8	amd64 / Linux / 5.8.0-44-generic
exasol	Exasol	client	2686	2021-02-27 12:52:02.200792237	2021-02-27 12:52:04.886993795	ubuntu	8	amd64 / Linux / 5.8.0-44-generic
firebird	Firebird	client	18421	2021-02-27 12:52:49.695990921	2021-02-27 12:53:08.117231249	ubuntu	8	amd64 / Linux / 5.8.0-44-generic
h2	H2 Database Engine	client	3992	2021-02-27 12:53:41.014704392	2021-02-27 12:53:45.006736320	ubuntu	8	amd64 / Linux / 5.8.0-44-generic
h2_emb	H2 Database Engine	embedded	1466	2021-02-27 12:53:46.745176856	2021-02-27 12:53:48.212155718	ubuntu	8	amd64 / Linux / 5.8.0-44-generic
hsqldb	HyperSQL Database	client	4832	2021-02-27 12:54:21.626604919	2021-02-27 12:54:26.458644781	ubuntu	8	amd64 / Linux / 5.8.0-44-generic
hsqldb_emb	HyperSQL Database	embedded	5090	2021-02-27 12:54:28.131534936	2021-02-27 12:54:33.221677620	ubuntu	8	amd64 / Linux / 5.8.0-44-generic
ibmdb2	IBM Db2 Database	client	5181	2021-02-27 12:59:36.495321812	2021-02-27 12:59:41.677018522	ubuntu	8	amd64 / Linux / 5.8.0-44-generic
informix	IBM Informix	client	7587	2021-02-27 13:03:50.591791287	2021-02-27 13:03:58.179439742	ubuntu	8	amd64 / Linux / 5.8.0-44-generic
mariadb	MariaDB Server	client	2715	2021-02-27 13:04:48.882830857	2021-02-27 13:04:51.598193379	ubuntu	8	amd64 / Linux / 5.8.0-44-generic
mimer	Mimer SQL	client	10809	2021-02-27 13:05:24.664142527	2021-02-27 13:05:35.473271559	ubuntu	8	amd64 / Linux / 5.8.0-44-generic
monetdb	MonetDB	client	17687	2021-02-27 13:05:43.364703027	2021-02-27 13:06:01.051832979	ubuntu	8	amd64 / Linux / 5.8.0-44-generic
mysql	MySQL Database	client	4209	2021-02-27 13:07:05.296848330	2021-02-27 13:07:09.506429874	ubuntu	8	amd64 / Linux / 5.8.0-44-generic
mysql_trino	MySQL Database	trino	879412	2021-02-27 13:08:45.146115762	2021-02-27 13:23:24.558714132	ubuntu	8	amd64 / Linux / 5.8.0-44-generic
percona	Percona Server for MySQL	client	4446	2021-02-27 13:24:38.513826586	2021-02-27 13:24:42.960685882	ubuntu	8	amd64 / Linux / 5.8.0-44-generic
postgresql	PostgreSQL Database	client	2665	2021-02-27 13:25:24.184760795	2021-02-27 13:25:26.850403704	ubuntu	8	amd64 / Linux / 5.8.0-44-generic
postgresql_trino	PostgreSQL Database	trino	672403	2021-02-27 13:26:31.448979139	2021-02-27 13:37:43.852694972	ubuntu	8	amd64 / Linux / 5.8.0-44-generic
sqlite	SQLite	embedded	783	2021-02-27 13:37:45.539843913	2021-02-27 13:37:46.322879626	ubuntu	8	amd64 / Linux / 5.8.0-44-generic
sqlserver	MS SQL Server	client	3408	2021-02-27 13:38:49.680577831	2021-02-27 13:38:53.088920322	ubuntu	8	amd64 / Linux / 5.8.0-44-generic
sqlserver_trino	MS SQL Server	trino	1209754	2021-02-27 13:40:02.973615208	2021-02-27 14:00:12.728433902	ubuntu	8	amd64 / Linux / 5.8.0-44-generic
voltdb	VoltDB	client	13880	2021-02-27 14:01:00.619876443	2021-02-27 14:01:14.499966908	ubuntu	8	amd64 / Linux / 5.8.0-44-generic
yugabyte	YugabyteDB	client	16586	2021-02-27 14:02:23.547404611	2021-02-27 14:02:40.134076852	ubuntu	8	amd64 / Linux / 5.8.0-44-generic
