ticker symbol	DBMS	client / embedded	runtime in seconds	start time	end time
cratedb	CrateDB	client	38	2020-07-10 06:23:24.667101300	2020-07-10 06:24:03.093368500
cratedb	CrateDB	client	30	2020-07-10 06:24:03.782971700	2020-07-10 06:24:34.015071400
derby	Apache Derby [client]	client	20	2020-07-10 06:26:30.939696900	2020-07-10 06:26:51.698925800
derby	Apache Derby [client]	client	18	2020-07-10 06:26:52.296922500	2020-07-10 06:27:10.683203700
h2	H2 Database Engine [client]	client	13	2020-07-10 06:28:43.066008700	2020-07-10 06:28:56.165162500
h2	H2 Database Engine [client]	client	14	2020-07-10 06:28:56.799162000	2020-07-10 06:29:11.762958100
h2_emb	H2 Database Engine [embedded]	embedded	33	2020-07-10 06:29:12.417956600	2020-07-10 06:29:45.927998000
h2_emb	H2 Database Engine [embedded]	embedded	14	2020-07-10 06:29:46.521999300	2020-07-10 06:30:01.272534400
hsqldb	HyperSQL Database [client]	client	26	2020-07-10 06:30:40.894483600	2020-07-10 06:31:07.384205300
hsqldb	HyperSQL Database [client]	client	26	2020-07-10 06:31:08.332969100	2020-07-10 06:31:34.422506300
hsqldb_emb	HyperSQL Database [embedded]	embedded	285	2020-07-10 06:31:35.028507400	2020-07-10 06:36:20.555379700
hsqldb_emb	HyperSQL Database [embedded]	embedded	260	2020-07-10 06:36:21.099380500	2020-07-10 06:40:41.227256500
ibmdb2	IBM Db2 Database	client	22	2020-07-10 06:42:43.708065300	2020-07-10 06:43:06.631039700
ibmdb2	IBM Db2 Database	client	17	2020-07-10 06:43:07.248861500	2020-07-10 06:43:24.417497300
informix	IBM Informix	client	34	2020-07-10 06:44:16.783148400	2020-07-10 06:44:50.903691700
informix	IBM Informix	client	43	2020-07-10 06:44:51.552733800	2020-07-10 06:45:35.308297900
mariadb	MariaDB Server	client	11	2020-07-10 06:45:56.348039600	2020-07-10 06:46:08.193128300
mariadb	MariaDB Server	client	11	2020-07-10 06:46:08.733128500	2020-07-10 06:46:20.277568500
mssqlserver	MS SQL Server	client	16	2020-07-10 06:46:42.887214300	2020-07-10 06:46:59.007926600
mssqlserver	MS SQL Server	client	16	2020-07-10 06:46:59.591925000	2020-07-10 06:47:16.431196900
mimer	Mimer SQL	client	46	2020-07-10 06:47:38.576205200	2020-07-10 06:48:25.481880900
mimer	Mimer SQL	client	46	2020-07-10 06:48:26.064160700	2020-07-10 06:49:12.464788300
mysql	MySQL Database	client	16	2020-07-10 06:49:38.644567200	2020-07-10 06:49:55.483156000
mysql	MySQL Database	client	15	2020-07-10 06:49:56.032152500	2020-07-10 06:50:11.913509300
oracle	Oracle Database	client	17	2020-07-10 06:52:15.617644400	2020-07-10 06:52:32.791928100
oracle	Oracle Database	client	15	2020-07-10 06:52:33.342928200	2020-07-10 06:52:49.330895800
postgresql	PostgreSQL Database	client	13	2020-07-10 06:53:20.957980000	2020-07-10 06:53:33.963941700
postgresql	PostgreSQL Database	client	12	2020-07-10 06:53:34.506958000	2020-07-10 06:53:46.815913000
sqlite	SQLite	embedded	8	2020-07-10 06:53:47.389911600	2020-07-10 06:53:56.209935000
sqlite	SQLite	embedded	8	2020-07-10 06:53:56.827935500	2020-07-10 06:54:05.813306700
